Label,RdRp GenBank Acc,NCBI Tax ID,virus name,taxonomy,Family,Checked,Host
512492514,AGO03686.1,1331744,Actinidia_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;unclassified Potexvirus;Actinidia virus X",Alphaflexiviridae,y,Plants
224923888,YP_002647027.1,317027,Allium_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Allium virus X",Alphaflexiviridae,y,Plants
75750460,YP_319827.1,316983,Alstroemeria_virus_x,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Alstroemeria virus x",Alphaflexiviridae,y,Plants
239819300,ACS28233.1,85454,Alternanthera_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Alternanthera mosaic virus",Alphaflexiviridae,y,Plants
1109489170,APG31855.1,1921009,Arachis_pintoi_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;unclassified Alphaflexiviridae;Arachis pintoi virus",Alphaflexiviridae,y,Plants
18652419,NP_570726.1,445435,Asparagus_virus_3,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Asparagus virus 3",Alphaflexiviridae,y,Plants
9627984,NP_042582.1,35286,Bamboo_mosaic_virus,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Bamboo mosaic virus",Alphaflexiviridae,y,Plants
338826798,YP_004659200.1,1043184,Blackberry_virus_E,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;unclassified Alphaflexiviridae;Blackberry virus E",Alphaflexiviridae,y,Plants
37595816,NP_932306.1,174142,Botrytis_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Botrexvirus;Botrytis virus X",Alphaflexiviridae,y,Fungi
14602400,NP_148778.1,112227,Cactus_virus_X,"Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Tymovirales;Alphaflexiviridae;Potexvirus;Cactus virus X",Alphaflexiviridae,y,Plants
