#Name	Length	Bases	Coverage	Reads	RPKM	Frags	FPKM
k127_558 flag=1 multi=2.0000 len=380	380	900	2.3684	6	257.5266	3	257.5266
k127_952 flag=1 multi=4.0000 len=319	319	0	0.0000	0	0.0000	0	0.0000
k127_958 flag=0 multi=42.0775 len=5083	5083	0	0.0000	0	0.0000	0	0.0000
k127_965 flag=1 multi=6.0000 len=1182	1182	0	0.0000	0	0.0000	0	0.0000
k127_2267 flag=1 multi=4.0000 len=302	302	0	0.0000	0	0.0000	0	0.0000
k127_2651 flag=1 multi=7.0000 len=1090	1090	8595	7.8853	61	912.7626	30	897.7993
k127_2676 flag=1 multi=94.0000 len=1301	1301	0	0.0000	0	0.0000	0	0.0000
k127_2895 flag=1 multi=12.0000 len=6066	6066	0	0.0000	0	0.0000	0	0.0000
k127_3857 flag=0 multi=159.7386 len=544	544	0	0.0000	0	0.0000	0	0.0000
k127_3876 flag=1 multi=6.0000 len=1441	1441	0	0.0000	0	0.0000	0	0.0000
k127_4927 flag=1 multi=6.0000 len=1062	1062	0	0.0000	0	0.0000	0	0.0000
k127_5143 flag=1 multi=9.0000 len=1193	1193	300	0.2515	2	27.3429	1	27.3429
k127_5464 flag=1 multi=3.0000 len=337	337	1346	3.9941	9	435.5792	4	387.1815
k127_5527 flag=1 multi=2.0000 len=940	940	0	0.0000	0	0.0000	0	0.0000
k127_7579 flag=1 multi=2.0000 len=397	397	0	0.0000	0	0.0000	0	0.0000
k127_7800 flag=1 multi=1.0000 len=321	321	450	1.4019	3	152.4301	1	101.6201
k127_8460 flag=0 multi=32.0000 len=2829	2829	0	0.0000	0	0.0000	0	0.0000
k127_8876 flag=1 multi=1.0000 len=337	337	0	0.0000	0	0.0000	0	0.0000
k127_9924 flag=1 multi=2.0000 len=516	516	300	0.5814	2	63.2171	1	63.2171
k127_10955 flag=1 multi=3.0000 len=461	461	0	0.0000	0	0.0000	0	0.0000
k127_11928 flag=1 multi=2.0000 len=846	846	0	0.0000	0	0.0000	0	0.0000
k127_12435 flag=0 multi=100.1414 len=2801	2801	45354	16.1921	314	1828.3993	157	1828.3993
k127_12944 flag=1 multi=3.0000 len=524	524	0	0.0000	0	0.0000	0	0.0000
k127_13258 flag=1 multi=5.0000 len=1165	1165	300	0.2575	2	28.0000	1	28.0000
k127_13354 flag=1 multi=2.0000 len=523	523	0	0.0000	0	0.0000	0	0.0000
k127_14761 flag=1 multi=5.0000 len=823	823	0	0.0000	0	0.0000	0	0.0000
k127_14979 flag=1 multi=20.5613 len=7360	7360	118328	16.0772	812	1799.4207	406	1799.4207
k127_15261 flag=1 multi=2.0000 len=697	697	450	0.6456	3	70.2009	1	46.8006
k127_15861 flag=1 multi=2.0000 len=354	354	0	0.0000	0	0.0000	0	0.0000
k127_15895 flag=1 multi=2.0000 len=573	573	0	0.0000	0	0.0000	0	0.0000
k127_16424 flag=1 multi=5.0000 len=932	932	0	0.0000	0	0.0000	0	0.0000
k127_16579 flag=1 multi=4.0000 len=590	590	0	0.0000	0	0.0000	0	0.0000
k127_17424 flag=1 multi=5.0000 len=1364	1364	0	0.0000	0	0.0000	0	0.0000
k127_17751 flag=1 multi=25.9897 len=516	516	0	0.0000	0	0.0000	0	0.0000
k127_17948 flag=1 multi=3.0000 len=507	507	0	0.0000	0	0.0000	0	0.0000
k127_18283 flag=0 multi=25.8964 len=2541	2541	0	0.0000	0	0.0000	0	0.0000
k127_18398 flag=1 multi=5.0000 len=637	637	900	1.4129	6	153.6266	3	153.6266
k127_18538 flag=0 multi=841.8899 len=7250	7250	0	0.0000	0	0.0000	0	0.0000
k127_18680 flag=1 multi=12.0000 len=371	371	0	0.0000	0	0.0000	0	0.0000
k127_18722 flag=0 multi=40.6589 len=429	429	0	0.0000	0	0.0000	0	0.0000
k127_18854 flag=1 multi=5.0000 len=590	590	0	0.0000	0	0.0000	0	0.0000
k127_20224 flag=1 multi=5.0000 len=686	686	0	0.0000	0	0.0000	0	0.0000
k127_21645 flag=0 multi=355.5556 len=559	559	0	0.0000	0	0.0000	0	0.0000
k127_22468 flag=1 multi=8.0000 len=1622	1622	0	0.0000	0	0.0000	0	0.0000
k127_22760 flag=1 multi=6.0000 len=477	477	0	0.0000	0	0.0000	0	0.0000
k127_22866 flag=1 multi=5.0000 len=753	753	0	0.0000	0	0.0000	0	0.0000
k127_24289 flag=0 multi=318.1463 len=2464	2464	0	0.0000	0	0.0000	0	0.0000
k127_24469 flag=1 multi=4.0000 len=439	439	594	1.3531	4	148.6107	2	148.6107
k127_24644 flag=1 multi=5.0000 len=585	585	1190	2.0342	8	223.0430	4	223.0430
k127_25323 flag=0 multi=339.0810 len=2399	2399	0	0.0000	0	0.0000	0	0.0000
k127_25545 flag=1 multi=4.0000 len=543	543	0	0.0000	0	0.0000	0	0.0000
k127_26270 flag=1 multi=5.0000 len=614	614	1497	2.4381	10	265.6355	5	265.6355
k127_26463 flag=1 multi=2.0000 len=412	412	0	0.0000	0	0.0000	0	0.0000
k127_26648 flag=0 multi=199.2809 len=3812	3812	0	0.0000	0	0.0000	0	0.0000
k127_27400 flag=1 multi=2.0000 len=303	303	0	0.0000	0	0.0000	0	0.0000
k127_27502 flag=1 multi=1.0000 len=558	558	0	0.0000	0	0.0000	0	0.0000
k127_28084 flag=1 multi=7.0000 len=1081	1081	0	0.0000	0	0.0000	0	0.0000
k127_29606 flag=0 multi=424.5231 len=3943	3943	0	0.0000	0	0.0000	0	0.0000
k127_29804 flag=1 multi=2.0000 len=439	439	2809	6.3986	19	705.9007	9	668.7480
k127_30314 flag=1 multi=4.0000 len=604	604	0	0.0000	0	0.0000	0	0.0000
k127_30751 flag=1 multi=5.0000 len=440	440	852	1.9364	6	222.4094	3	222.4094
k127_31748 flag=1 multi=5.0000 len=1287	1287	0	0.0000	0	0.0000	0	0.0000
k127_32046 flag=1 multi=5.0000 len=711	711	300	0.4219	2	45.8791	1	45.8791
k127_32048 flag=1 multi=1.0000 len=321	321	270	0.8411	2	101.6201	1	101.6201
k127_32418 flag=1 multi=2.0000 len=325	325	0	0.0000	0	0.0000	0	0.0000
