#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_558 flag=1 multi=2.0000 len=380	0.0000	380	0.3000	0.0000	0	0	0	0.0000	0	0.00
k127_952 flag=1 multi=4.0000 len=319	1.7649	319	0.4639	57.3668	183	3	2	0.4245	1	1.90
k127_958 flag=0 multi=42.0775 len=5083	0.0000	5083	0.4493	0.0000	0	0	0	0.0000	0	0.00
k127_965 flag=1 multi=6.0000 len=1182	0.0000	1182	0.4222	0.0000	0	0	0	0.0000	0	0.00
k127_2267 flag=1 multi=4.0000 len=302	0.0000	302	0.4437	0.0000	0	0	0	0.0000	0	0.00
k127_2651 flag=1 multi=7.0000 len=1090	0.0000	1090	0.3477	0.0000	0	0	0	0.0000	0	0.00
k127_2676 flag=1 multi=94.0000 len=1301	24.1437	1301	0.4343	97.0023	1262	111	111	0.4526	25	16.27
k127_2895 flag=1 multi=12.0000 len=6066	0.0000	6066	0.3981	0.0000	0	0	0	0.0000	0	0.00
k127_3857 flag=0 multi=159.7386 len=544	17.2739	544	0.3327	97.4265	530	32	34	0.3261	18	11.15
k127_3876 flag=1 multi=6.0000 len=1441	2.1277	1441	0.5205	56.2110	810	12	12	0.5226	2	2.75
k127_4927 flag=1 multi=6.0000 len=1062	0.0000	1062	0.4680	0.0000	0	0	0	0.0000	0	0.00
k127_5143 flag=1 multi=9.0000 len=1193	0.0000	1193	0.4459	0.0000	0	0	0	0.0000	0	0.00
k127_5464 flag=1 multi=3.0000 len=337	0.0000	337	0.4688	0.0000	0	0	0	0.0000	0	0.00
k127_5527 flag=1 multi=2.0000 len=940	0.0000	940	0.4053	0.0000	0	0	0	0.0000	0	0.00
k127_7579 flag=1 multi=2.0000 len=397	0.0000	397	0.4358	0.0000	0	0	0	0.0000	0	0.00
k127_7800 flag=1 multi=1.0000 len=321	0.0000	321	0.4486	0.0000	0	0	0	0.0000	0	0.00
k127_8460 flag=0 multi=32.0000 len=2829	4.8197	2829	0.3256	86.8858	2458	47	48	0.3445	2	7.13
k127_8876 flag=1 multi=1.0000 len=337	0.0000	337	0.4214	0.0000	0	0	0	0.0000	0	0.00
k127_9924 flag=1 multi=2.0000 len=516	0.0000	516	0.4496	0.0000	0	0	0	0.0000	0	0.00
k127_10955 flag=1 multi=3.0000 len=461	0.0000	461	0.4642	0.0000	0	0	0	0.0000	0	0.00
k127_11928 flag=1 multi=2.0000 len=846	2.0591	846	0.4622	87.1158	737	6	6	0.4615	2	1.34
k127_12435 flag=0 multi=100.1414 len=2801	0.0000	2801	0.3324	0.0000	0	0	0	0.0000	0	0.00
k127_12944 flag=1 multi=3.0000 len=524	0.0000	524	0.3931	0.0000	0	0	0	0.0000	0	0.00
k127_13258 flag=1 multi=5.0000 len=1165	0.0000	1165	0.4472	0.0000	0	0	0	0.0000	0	0.00
k127_13354 flag=1 multi=2.0000 len=523	0.5392	523	0.4493	26.9598	141	1	1	0.4468	0	0.89
k127_14761 flag=1 multi=5.0000 len=823	0.7290	823	0.4496	27.5820	227	2	2	0.4567	0	1.34
k127_14979 flag=1 multi=20.5613 len=7360	0.0000	7360	0.3539	0.0000	0	0	0	0.0000	0	0.00
k127_15261 flag=1 multi=2.0000 len=697	0.0000	697	0.3931	0.0000	0	0	0	0.0000	0	0.00
k127_15861 flag=1 multi=2.0000 len=354	0.0000	354	0.4915	0.0000	0	0	0	0.0000	0	0.00
k127_15895 flag=1 multi=2.0000 len=573	0.0000	573	0.3874	0.0000	0	0	0	0.0000	0	0.00
k127_16424 flag=1 multi=5.0000 len=932	0.3219	932	0.3830	21.5665	201	1	1	0.3967	0	0.66
k127_16579 flag=1 multi=4.0000 len=590	0.0000	590	0.3949	0.0000	0	0	0	0.0000	0	0.00
k127_17424 flag=1 multi=5.0000 len=1364	0.0000	1364	0.4956	0.0000	0	0	0	0.0000	0	0.00
k127_17751 flag=1 multi=25.9897 len=516	1.1550	516	0.4535	50.1938	259	1	3	0.4245	1	1.37
k127_17948 flag=1 multi=3.0000 len=507	0.0000	507	0.3748	0.0000	0	0	0	0.0000	0	0.00
k127_18283 flag=0 multi=25.8964 len=2541	0.0000	2541	0.4656	0.0000	0	0	0	0.0000	0	0.00
k127_18398 flag=1 multi=5.0000 len=637	0.0000	637	0.4144	0.0000	0	0	0	0.0000	0	0.00
k127_18538 flag=0 multi=841.8899 len=7250	2.9415	7250	0.3828	51.8069	3756	75	72	0.4068	1	4.61
k127_18680 flag=1 multi=12.0000 len=371	0.0000	371	0.4528	0.0000	0	0	0	0.0000	0	0.00
k127_18722 flag=0 multi=40.6589 len=429	0.0000	429	0.5245	0.0000	0	0	0	0.0000	0	0.00
k127_18854 flag=1 multi=5.0000 len=590	0.0000	590	0.5000	0.0000	0	0	0	0.0000	0	0.00
k127_20224 flag=1 multi=5.0000 len=686	0.0000	686	0.4636	0.0000	0	0	0	0.0000	0	0.00
k127_21645 flag=0 multi=355.5556 len=559	0.5313	559	0.3202	27.0125	151	1	1	0.2963	0	0.88
k127_22468 flag=1 multi=8.0000 len=1622	0.0000	1622	0.3853	0.0000	0	0	0	0.0000	0	0.00
k127_22760 flag=1 multi=6.0000 len=477	0.0000	477	0.4025	0.0000	0	0	0	0.0000	0	0.00
k127_22866 flag=1 multi=5.0000 len=753	0.0000	753	0.5073	0.0000	0	0	0	0.0000	0	0.00
k127_24289 flag=0 multi=318.1463 len=2464	0.0000	2464	0.4428	0.0000	0	0	0	0.0000	0	0.00
k127_24469 flag=1 multi=4.0000 len=439	0.0000	439	0.4305	0.0000	0	0	0	0.0000	0	0.00
k127_24644 flag=1 multi=5.0000 len=585	0.0000	585	0.4051	0.0000	0	0	0	0.0000	0	0.00
k127_25323 flag=0 multi=339.0810 len=2399	0.0000	2399	0.4848	0.0000	0	0	0	0.0000	0	0.00
k127_25545 flag=1 multi=4.0000 len=543	0.5470	543	0.5267	49.3554	268	1	1	0.5488	0	0.60
