#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_558 flag=1 multi=2.0000 len=380	0.0000	380	0.3000	0.0000	0	0	0	0.0000	0	0.00
k127_952 flag=1 multi=4.0000 len=319	0.0000	319	0.4639	0.0000	0	0	0	0.0000	0	0.00
k127_958 flag=0 multi=42.0775 len=5083	0.0000	5083	0.4493	0.0000	0	0	0	0.0000	0	0.00
k127_965 flag=1 multi=6.0000 len=1182	0.0000	1182	0.4222	0.0000	0	0	0	0.0000	0	0.00
k127_2267 flag=1 multi=4.0000 len=302	0.0000	302	0.4437	0.0000	0	0	0	0.0000	0	0.00
k127_2651 flag=1 multi=7.0000 len=1090	0.0000	1090	0.3477	0.0000	0	0	0	0.0000	0	0.00
k127_2676 flag=1 multi=94.0000 len=1301	0.0000	1301	0.4343	0.0000	0	0	0	0.0000	0	0.00
k127_2895 flag=1 multi=12.0000 len=6066	14.6927	6066	0.3981	100.0000	6066	307	305	0.4033	14	7.90
k127_3857 flag=0 multi=159.7386 len=544	0.2757	544	0.3327	27.5735	150	1	0	0.3667	0	0.45
k127_3876 flag=1 multi=6.0000 len=1441	1.3296	1441	0.5205	66.4816	958	7	6	0.5136	1	1.18
k127_4927 flag=1 multi=6.0000 len=1062	7.6883	1062	0.4680	98.9642	1051	28	28	0.4694	8	3.43
k127_5143 flag=1 multi=9.0000 len=1193	0.0000	1193	0.4459	0.0000	0	0	0	0.0000	0	0.00
k127_5464 flag=1 multi=3.0000 len=337	0.0000	337	0.4688	0.0000	0	0	0	0.0000	0	0.00
k127_5527 flag=1 multi=2.0000 len=940	2.9404	940	0.4053	100.0000	940	8	11	0.4016	3	1.19
k127_7579 flag=1 multi=2.0000 len=397	0.0000	397	0.4358	0.0000	0	0	0	0.0000	0	0.00
k127_7800 flag=1 multi=1.0000 len=321	0.0000	321	0.4486	0.0000	0	0	0	0.0000	0	0.00
k127_8460 flag=0 multi=32.0000 len=2829	3.8226	2829	0.3256	60.2333	1704	39	35	0.3383	2	4.61
k127_8876 flag=1 multi=1.0000 len=337	0.0000	337	0.4214	0.0000	0	0	0	0.0000	0	0.00
k127_9924 flag=1 multi=2.0000 len=516	0.0000	516	0.4496	0.0000	0	0	0	0.0000	0	0.00
k127_10955 flag=1 multi=3.0000 len=461	0.0000	461	0.4642	0.0000	0	0	0	0.0000	0	0.00
k127_11928 flag=1 multi=2.0000 len=846	0.0000	846	0.4622	0.0000	0	0	0	0.0000	0	0.00
k127_12435 flag=0 multi=100.1414 len=2801	0.0000	2801	0.3324	0.0000	0	0	0	0.0000	0	0.00
k127_12944 flag=1 multi=3.0000 len=524	3.7977	524	0.3931	100.0000	524	7	7	0.4005	4	1.77
k127_13258 flag=1 multi=5.0000 len=1165	0.0000	1165	0.4472	0.0000	0	0	0	0.0000	0	0.00
k127_13354 flag=1 multi=2.0000 len=523	0.0000	523	0.4493	0.0000	0	0	0	0.0000	0	0.00
k127_14761 flag=1 multi=5.0000 len=823	5.4982	823	0.4496	100.0000	823	16	17	0.4497	6	2.26
k127_14979 flag=1 multi=20.5613 len=7360	0.0194	7360	0.3539	1.9429	143	0	1	0.3427	0	0.14
k127_15261 flag=1 multi=2.0000 len=697	0.0000	697	0.3931	0.0000	0	0	0	0.0000	0	0.00
k127_15861 flag=1 multi=2.0000 len=354	0.0000	354	0.4915	0.0000	0	0	0	0.0000	0	0.00
k127_15895 flag=1 multi=2.0000 len=573	2.5602	573	0.3874	100.0000	573	5	5	0.3885	3	1.33
k127_16424 flag=1 multi=5.0000 len=932	0.0000	932	0.3830	0.0000	0	0	0	0.0000	0	0.00
